Time North East
11:15:11 4733994.170 268490.364
11:15:13 4733991.243 268494.751
11:15:15 4733991.077 268496.932
11:15:17 4733987.769 268499.826
11:15:19 4733988.709 268501.247
11:15:21 4733984.335 268503.696
11:15:23 4733984.675 268506.440
11:15:25 4733982.154 268507.949
11:15:27 4733981.146 268510.375
11:15:29 4733981.317 268512.658
11:15:31 4733978.149 268515.011
11:15:33 4733978.328 268517.066
11:15:35 4733974.853 268519.386
11:15:37 4733975.008 268521.213
11:15:39 4733974.363 268522.011
11:15:41 4733975.424 268523.549
11:15:43 4733974.291 268526.016
11:15:45 4733971.431 268528.402
11:15:47 4733971.652 268530.117
11:15:49 4733970.796 268532.616
11:15:53 4733970.972 268537.518
11:15:55 4733971.466 268536.578
11:16:03 4733976.167 268541.927
11:16:05 4733976.947 268544.458
11:16:07 4733980.341 268544.526
11:16:09 4733983.372 268544.400
11:16:11 4733982.996 268546.414
11:16:13 4733985.734 268546.733
11:16:15 4733985.949 268549.541
11:16:17 4733986.593 268551.498
11:16:19 4733989.140 268553.838
11:16:21 4733989.031 268556.180
11:16:23 4733989.042 268558.616
11:16:25 4733986.110 268560.408
11:16:27 4733985.587 268560.322
11:16:29 4733985.409 268562.889
11:16:31 4733982.637 268565.415
11:16:33 4733983.026 268567.637
11:16:35 4733979.769 268569.919
11:16:37 4733979.852 268572.039
11:16:39 4733976.491 268573.725
11:16:41 4733975.752 268576.433
11:16:43 4733973.290 268576.168
11:16:45 4733972.970 268578.343
11:16:47 4733969.688 268580.442
11:16:49 4733969.526 268582.509
11:16:51 4733966.096 268584.421
11:16:53 4733965.663 268587.207
11:16:55 4733966.301 268589.369
11:16:57 4733962.959 268591.397
11:16:59 4733962.705 268593.461
11:17:01 4733962.330 268596.363
11:17:03 4733963.117 268598.689
11:17:05 4733963.083 268600.623
11:17:07 4733962.551 268602.677
11:17:09 4733962.160 268606.034
11:17:11 4733963.684 268604.788
11:17:13 4733961.822 268607.845
11:17:15 4733962.902 268609.702
11:17:17 4733965.288 268612.219
11:17:19 4733965.441 268614.114
11:17:21 4733967.919 268616.656
11:17:23 4733968.164 268616.733
11:17:25 4733971.255 268619.409
11:17:27 4733971.578 268621.743
11:17:29 4733974.820 268619.005
11:17:31 4733977.120 268619.492
11:17:33 4733977.750 268617.281
11:17:35 4733980.957 268615.590
11:17:37 4733981.777 268610.471
11:17:39 4733981.062 268607.829
11:17:41 4733980.747 268603.424
11:17:43 4733981.030 268601.406
11:17:45 4733981.525 268596.778
11:17:47 4733981.540 268592.634
11:17:49 4733982.245 268588.195
11:17:51 4733982.467 268585.242
11:17:53 4733981.691 268580.753
11:17:55 4733981.974 268576.004
11:17:57 4733981.826 268572.128
11:17:59 4733982.836 268569.611
11:18:01 4733982.616 268565.118
11:18:03 4733982.862 268560.550
11:18:05 4733986.075 268555.921
11:18:07 4733985.880 268554.343
11:18:09 4733987.015 268549.053
11:18:11 4733986.106 268544.833
11:18:13 4733986.744 268540.551
11:18:15 4733987.259 268535.308
11:18:17 4733986.432 268531.410
11:18:19 4733987.443 268528.916
11:18:21 4733990.328 268524.823
11:18:23 4733991.005 268519.381
11:18:25 4733989.921 268514.859
11:18:27 4733990.162 268510.427
11:18:29 4733990.390 268508.225
11:18:31 4733990.633 268503.748
11:18:33 4733990.883 268499.043
11:18:35 4733990.808 268494.851
11:18:37 4733994.565 268489.625
11:18:39 4733993.601 268486.132
11:18:41 4733995.251 268481.132
11:18:43 4733994.652 268478.744
11:18:45 4733994.680 268474.214
11:18:47 4733997.926 268470.429
11:18:49 4733998.992 268465.341
11:18:51 4734001.470 268460.506
11:18:53 4734001.034 268458.784
11:18:55 4734001.964 268454.079
